source_id,dataset_id,dataset_version,source_table_id,indicator_id,indicator_label,period_start,period_end,population_label,denominator_id,denominator_label,denominator_definition,dimension_type,business_size,source_dimension_label,scope_role,estimate,estimate_percent,lower_limit,lower_limit_percent,upper_limit,upper_limit_percent,confidence_level,sample_base,source_status,run_id,approval_status
dsit_ukbds_2026,uk_business_data_survey,2026-06-18,48,ai_tools_integrated_with_systems,AI tools integrated with business systems,2025-10-10,2026-01-28,UK businesses that use Artificial Intelligence technologies,uk_businesses_using_ai_technologies,UK businesses that use Artificial Intelligence technologies,UK businesses within the published business-size category that report using Artificial Intelligence technologies,business_size,micro,Size: Micro (up to 9 employees),primary,0.2686724254424155,26.87,0.2380098715030309,23.8,0.2993349793818002,29.93,0.95,960,observed,20260723T091557Z,approved_processed
dsit_ukbds_2026,uk_business_data_survey,2026-06-18,48,ai_tools_integrated_with_systems,AI tools integrated with business systems,2025-10-10,2026-01-28,UK businesses that use Artificial Intelligence technologies,uk_businesses_using_ai_technologies,UK businesses that use Artificial Intelligence technologies,UK businesses within the published business-size category that report using Artificial Intelligence technologies,business_size,small,Size: Small (10 to 49 employees),primary,0.3148095461838537,31.48,0.2614850813184411,26.15,0.3681340110492662,36.81,0.95,350,observed,20260723T091557Z,approved_processed
dsit_ukbds_2026,uk_business_data_survey,2026-06-18,48,ai_tools_integrated_with_systems,AI tools integrated with business systems,2025-10-10,2026-01-28,UK businesses that use Artificial Intelligence technologies,uk_businesses_using_ai_technologies,UK businesses that use Artificial Intelligence technologies,UK businesses within the published business-size category that report using Artificial Intelligence technologies,business_size,medium,Size: Medium (50 to 249 employees),primary,0.3092257405887146,30.92,0.2236362493492131,22.36,0.3948152318282162,39.48,0.95,130,observed,20260723T091557Z,approved_processed
dsit_ukbds_2026,uk_business_data_survey,2026-06-18,48,ai_tools_integrated_with_systems,AI tools integrated with business systems,2025-10-10,2026-01-28,UK businesses that use Artificial Intelligence technologies,uk_businesses_using_ai_technologies,UK businesses that use Artificial Intelligence technologies,UK businesses within the published business-size category that report using Artificial Intelligence technologies,business_size,large,Size: Large (250 plus employees),reference_benchmark,0.5744406891879408,57.44,0.4735121630970164,47.35,0.6753692152788652,67.54,0.95,100,observed,20260723T091557Z,approved_processed
